station_code,construction_id,station_name_tw,station_name_en,line_code,line_name,address,lat,lon
R03,R6,台北101/世貿,Taipei 101/World Trade Center,R,淡水信義線,台北市信義區信義路五段20號B1,25.033102,121.563292
R04,R7,信義安和,Xinyi Anhe,R,淡水信義線,台北市大安區信義路四段212之1號B1,25.033326,121.553526
R05,R8,大安,Daan,R,淡水信義線,台北市大安區信義路四段2號,25.032943,121.543551
R06,R9,大安森林公園,Daan Park,R,淡水信義線,台北市大安區信義路三段100號B1,25.033396,121.534882
R07,R10,東門,Dongmen,R,淡水信義線,台北市大安區信義路二段166號B1,25.033847,121.528739
R08,R11,中正紀念堂,Chiang Kai-Shek Memorial Hall,R,淡水信義線,台北市中正區羅斯福路一段8之1號B1,25.032729,121.51827
R09,R12,台大醫院,NTU Hospital,R,淡水信義線,台北市中正區公園路52號B1,25.041256,121.51604
R10,R13,台北車站,Taipei Main Station,R,淡水信義線,台北市中正區忠孝西路一段49號,25.046255,121.517532
R11,R14,中山,Zhongshan,R,淡水信義線,台北市中山區南京西路16號,25.052685,121.520392
R12,R15,雙連,Shuanglian,R,淡水信義線,台北市大同區民生西路47號,25.057805,121.520627
R13,R16,民權西路,Minquan W. Rd.,R,淡水信義線,台北市大同區民權西路72號,25.062905,121.51932
R14,R17,圓山,Yuanshan,R,淡水信義線,台北市大同區酒泉街9之1號,25.071353,121.520118
R15,R18A,劍潭,Jiantan,R,淡水信義線,台北市士林區中山北路五段65號,25.084873,121.525078
R16,R20,士林,Shilin,R,淡水信義線,台北市士林區福德路1號,25.093535,121.52623
R17,R21,芝山,Zhishan,R,淡水信義線,台北市士林區福國路70號,25.10306,121.522514
R18,R22,明德,Mingde,R,淡水信義線,台北市北投區明德路95號,25.109721,121.518848
R19,R23,石牌,Shipai,R,淡水信義線,台北市北投區石牌路一段200號,25.114523,121.515559
R20,R24,唭哩岸,Qilian,R,淡水信義線,台北市北投區東華街二段301號,25.120872,121.506252
R21,R25,奇岩,Qiyan,R,淡水信義線,台北市北投區三合街二段489號,25.125491,121.501132
R22,R26,北投,Beitou,R,淡水信義線,台北市北投區光明路1號,25.131841,121.498633
R22A,R27,新北投,Xinbeitou,R,淡水信義線,台北市北投區大業路700號,25.136933,121.50253
R23,R28,復興崗,Fuxinggang,R,淡水信義線,台北市北投區中央北路三段53巷10號,25.137474,121.485444
R24,R29,忠義,Zhongyi,R,淡水信義線,台北市北投區中央北路四段301號,25.130969,121.47341
R25,R30,關渡,Guandu,R,淡水信義線,台北市北投區大度路三段296巷51號,25.125633,121.467102
R26,R31,竹圍,Zhuwei,R,淡水信義線,新北市淡水區民權路50號,25.13694,121.459479
R27,R32,紅樹林,Hongshulin,R,淡水信義線,新北市淡水區中正東路二段68號,25.154042,121.458872
R28,R33,淡水,Tamsui,R,淡水信義線,新北市淡水區中正路1號,25.167818,121.445561
G01,G1,新店,Xindian,G,松山新店線,新北市新店區北宜路一段2號,24.957855,121.537584
G02,G2,新店區公所,Xindian District Office,G,松山新店線,新北市新店區北新路一段295號,24.967393,121.54131
G03,G3,七張,Qizhang,G,松山新店線,新北市新店區北新路二段150號,24.975169,121.542942
G03A,G1A,小碧潭,Xiaobitan,G,松山新店線,新北市新店區中央路151號4樓,24.971907,121.530339
G04,G4,大坪林,Dapinglin,G,松山新店線,新北市新店區北新路三段190號,24.982899,121.541352
G05,G5,景美,Jingmei,G,松山新店線,台北市文山區羅斯福路六段393號,24.9921276,121.5406037
G06,G6,萬隆,Wanlong,G,松山新店線,台北市文山區羅斯福路五段214號,25.001853,121.539051
G07,G7,公館,Gongguan,G,松山新店線,台北市中正區羅斯福路四段74號B1,25.014908,121.534216
G08,G9,台電大樓,Taipower Building,G,松山新店線,台北市中正區羅斯福路三段126之5號B1,25.020725,121.528168
G09,G10,古亭,Guting,G,松山新店線,台北市中正區羅斯福路二段164之1號B1,25.026357,121.522873
G10,G11,中正紀念堂,Chiang Kai-Shek Memorial Hall,G,松山新店線,台北市中正區羅斯福路一段8之1號B1,25.032729,121.51827
G11,G12,小南門,Xiaonanmen,G,松山新店線,台北市中正區愛國西路22號B1,25.035547,121.510857
G12,G13,西門,Ximen,G,松山新店線,台北市中正區寶慶路32之1號B1,25.04209,121.508303
G13,G14,北門,Beimen,G,松山新店線,台北市大同區塔城街10號,25.049554,121.510184
G14,G16,中山,Zhongshan,G,松山新店線,台北市中山區南京西路16號,25.052685,121.520392
G15,G17,松江南京,Songjiang Nanjing,G,松山新店線,台北市中山區松江路126號B1,25.052015,121.533075
G16,G18,南京復興,Nanjing Fuxing,G,松山新店線,台北市松山區南京東路三段253號,25.052319,121.544011
G17,G19,台北小巨蛋,Taipei Arena,G,松山新店線,台北市松山區南京東路四段10-1號,25.051836,121.55153
G18,G21,南京三民,Nanjing Sanmin,G,松山新店線,台北市松山區南京東路五段237號,25.051652,121.564708
G19,G22,松山,Songshan,G,松山新店線,台北市松山區八德路四段742號,25.050118,121.577706
O01,O19,南勢角,Nanshijiao,O,中和新蘆線,新北市中和區捷運路6號,24.990045,121.509237
O02,O18,景安,Jingan,O,中和新蘆線,新北市中和區景平路486號,24.993905,121.505113
O03,O17,永安市場,Yongan Market,O,中和新蘆線,新北市中和區中和路388號,25.002876,121.511231
O04,O16,頂溪,Dingxi,O,中和新蘆線,新北市永和區永和路二段168號B1,25.013821,121.515485
O05,O15,古亭,Guting,O,中和新蘆線,台北市中正區羅斯福路二段164之1號B1,25.026357,121.522873
O06,O14,東門,Dongmen,O,中和新蘆線,台北市大安區信義路二段166號B1,25.033847,121.528739
O07,O13,忠孝新生,Zhongxiao Xinsheng,O,中和新蘆線,台北市大安區新生南路一段67號,25.042356,121.532905
O08,O12,松江南京,Songjiang Nanjing,O,中和新蘆線,台北市中山區松江路126號B1,25.052015,121.533075
O09,O11,行天宮,Xingtian Temple,O,中和新蘆線,台北市中山區松江路316號B1,25.059718,121.533185
O10,O10,中山國小,Zhongshan Elementary School,O,中和新蘆線,台北市中山區民權東路一段71號B1,25.062694,121.526419
O11,O9,民權西路,Minquan W. Rd.,O,中和新蘆線,台北市大同區民權西路72號,25.062905,121.51932
O12,O8,大橋頭,Daqiaotou,O,中和新蘆線,台北市大同區民權西路223號B1,25.063256,121.51272
O13,O7,台北橋,Taipei Bridge,O,中和新蘆線,新北市三重區重新路一段108號B1,25.063274,121.500762
O14,O6,菜寮,Cailiao,O,中和新蘆線,新北市三重區重新路三段150號B1,25.060274,121.492156
O15,O5,三重,Sanchong,O,中和新蘆線,新北市三重區捷運路36號B1,25.055791,121.484725
O16,O4,先嗇宮,Xianse Temple,O,中和新蘆線,新北市三重區重新路五段515號B1,25.046493,121.471916
O17,O3,頭前庄,Touqianzhuang,O,中和新蘆線,新北市新莊區思源路18號B1,25.039705,121.461746
O18,O2,新莊,Xinzhuang,O,中和新蘆線,新北市新莊區中正路138號B1,25.036125,121.452468
O19,O1,輔大,Fu Jen University,O,中和新蘆線,新北市新莊區中正路510之1號B1,25.032718,121.43547
O20,O60,丹鳳,Danfeng,O,中和新蘆線,新北市新莊區中正路624之1號B1,25.0288671,121.4227079
O21,O59,迴龍,Huilong,O,中和新蘆線,新北市新莊區中正路758號B1,25.021862,121.41127
O50,O47,三重國小,Sanchong Elementary School,O,中和新蘆線,新北市三重區三和路三段5號B1,25.070319,121.496904
O51,O46,三和國中,Sanhe Junior High School,O,中和新蘆線,新北市三重區三和路四段107號B1,25.076859,121.486347
O52,O45,徐匯中學,St. Ignatius High School,O,中和新蘆線,新北市蘆洲區中山一路3號B1,25.080728,121.479673
O53,O44,三民高中,Sanmin Senior High School,O,中和新蘆線,新北市蘆洲區三民路105號B1,25.085456,121.473389
O54,O43,蘆洲,Luzhou,O,中和新蘆線,新北市蘆洲區三民路386號B1,25.091554,121.464471
BL01,BL36,頂埔,Dingpu,BL,板南線,新北市土城區中央路四段51-6號B3,24.96012,121.4205
BL02,BL37,永寧,Yongning,BL,板南線,新北市土城區中央路三段105號B1,24.966726,121.436072
BL03,BL38,土城,Tucheng,BL,板南線,新北市土城區金城路一段105號B1,24.973094,121.444362
BL04,BL39,海山,Haishan,BL,板南線,新北市土城區海山路39號B2,24.985339,121.448786
BL05,BL40,亞東醫院,Far Eastern Hospital,BL,板南線,新北市板橋區南雅南路二段17號B1,24.998037,121.452514
BL06,BL1,府中,Fuzhong,BL,板南線,新北市板橋區縣民大道一段193號B1,25.008619,121.459409
BL07,BL2,板橋,Banqiao,BL,板南線,新北市板橋區站前路5號B1,25.013618,121.462302
BL08,BL3,新埔,Xinpu,BL,板南線,新北市板橋區民生路三段2號B1,25.023738,121.468361
BL09,BL4,江子翠,Jianzicui,BL,板南線,新北市板橋區文化路二段296號B1,25.03001,121.47239
BL10,BL5,龍山寺,Longshan Temple,BL,板南線,台北市萬華區西園路一段153號,25.03528,121.499826
BL11,BL6,西門,Ximen,BL,板南線,台北市中正區寶慶路32之1號B1,25.04209,121.508303
BL12,BL7,台北車站,Taipei Main Station,BL,板南線,台北市中正區忠孝西路一段49號,25.046255,121.517532
BL13,BL8,善導寺,Shandao Temple,BL,板南線,台北市中正區忠孝東路一段58號B1,25.044823,121.523208
BL14,BL9,忠孝新生,Zhongxiao Xinsheng,BL,板南線,台北市大安區新生南路一段67號,25.042356,121.532905
BL15,BL10,忠孝復興,Zhongxiao Fuxing,BL,板南線,台北市大安區忠孝東路四段47號,25.041629,121.543767
BL16,BL11,忠孝敦化,Zhongxiao Dunhua,BL,板南線,台北市大安區忠孝東路四段182號,25.041478,121.551098
BL17,BL12,國父紀念館,Sun Yat-Sen Memorial Hall,BL,板南線,台北市信義區忠孝東路四段400號,25.041349,121.557802
BL18,BL13,市政府,Taipei City Hall,BL,板南線,台北市信義區忠孝東路五段2號,25.041171,121.565228
BL19,BL14,永春,Yongchun,BL,板南線,台北市信義區忠孝東路五段455號,25.040859,121.576293
BL20,BL15,後山埤,Houshanpi,BL,板南線,台北市南港區忠孝東路六段2號,25.045055,121.582522
BL21,BL16,昆陽,Kunyang,BL,板南線,台北市南港區忠孝東路六段451號,25.050461,121.593268
BL22,BL17,南港,Nangang,BL,板南線,台北市南港區忠孝東路七段380號,25.052116,121.606686
BL23,BL18,南港展覽館,Taipei Nangang Exhibition Center,BL,板南線,台北市南港區研究院路一段1號,25.055288,121.6175001
Y07,Y6,大坪林,Dapinglin,Y,環狀線,新北市新店區北新路三段190號,24.982899,121.541352
Y08,Y7,十四張,Shisizhang,Y,環狀線,新北市新店區民權路282號,24.9829302,121.5340099
Y09,Y8,秀朗橋,Xiulang Bridge,Y,環狀線,新北市中和區景平路2號,24.9905493,121.5250505
Y10,Y9,景平,Jingping,Y,環狀線,新北市中和區景平路121號,24.9919681,121.5165532
Y11,Y10,景安,Jingan,Y,環狀線,新北市中和區景平路486號,24.993905,121.505113
Y12,Y11,中和,Zhonghe,Y,環狀線,新北市中和區中山路二段271號,25.0019806,121.4960519
Y13,Y12,橋和,Qiaohe,Y,環狀線,新北市中和區板南路430號,25.0044131,121.4904608
Y14,Y13,中原,Zhongyuan,Y,環狀線,新北市中和區板南路510號,25.0084104,121.4841593
Y15,Y14,板新,Banxin,Y,環狀線,新北市板橋區板新路109號,25.0144914,121.4722124
Y16,Y15,板橋,Banqiao,Y,環狀線,新北市板橋區新站路66號,25.015156,121.464825
Y17,Y16,新埔民生,Xinpu Minsheng,Y,環狀線,新北市板橋區民生路三段70號,25.026125,121.466839
Y18,Y17,頭前庄,Touqianzhuang,Y,環狀線,新北市新莊區思源路20號,25.039735,121.461655
Y19,Y18,幸福,Xingfu,Y,環狀線,新北市新莊區思源路292號,25.050282,121.460216
Y20,Y19,新北產業園區,New Taipei Industrial Park,Y,環狀線,新北市新莊區五工路35號,25.0615483,121.4599257
A1,A1,台北車站,Taipei Main Station,A,機場線,台北市中正區鄭州路8號,25.0491868,121.515245
A2,A2,三重,Sanchong,A,機場線,新北市三重區捷運路36號,25.0552963,121.4813901
A3,A3,新北產業園區,New Taipei Industrial Park,A,機場線,新北市新莊區五工路37號,25.061716,121.4567028
A4,A4,新莊副都心,Xinzhuang Fuduxin,A,機場線,新北市新莊區新北大道四段188號,25.0591305,121.4434732
A5,A5,泰山,Taishan,A,機場線,新北市泰山區新北大道四段431號,25.0532726,121.4373407
A6,A6,泰山貴和,Taishan Guihe,A,機場線,新北市泰山區新北大道六段460號,25.0334752,121.4201443
A7,A7,體育大學,National Taiwan Sport University,A,機場線,桃園市龜山區文化一路688號,25.041246,121.3832453
A8,A8,長庚醫院,Chang Gung Memorial Hospital,A,機場線,桃園市龜山區文化一路6號,25.0604363,121.3679403
A9,A9,林口,Linkou,A,機場線,新北市林口區八德路290號,25.0665023,121.3590943
A10,A10,山鼻,Shanbi,A,機場線,桃園市蘆竹區南山路三段155號,25.0803514,121.2834868
A11,A11,坑口,Kengkou,A,機場線,桃園市蘆竹區坑菓路460號,25.086516,121.2642601
A12,A12,機場第一航廈,Airport Terminal 1,A,機場線,桃園市大園區航站南路17之1號B1,25.081385,121.2353293
A13,A13,機場第二航廈,Airport Terminal 2,A,機場線,桃園市大園區航站南路9之1號B2,25.0772703,121.230063
A14a,A14a,機場旅館,Airport Hotel,A,機場線,桃園市大園區航站南路1之2號,25.0692598,121.2187503
A15,A15,大園,Dayuan,A,機場線,桃園市大園區橫湳一路50號,25.0560465,121.2082923
A16,A16,橫山,Hengshan,A,機場線,桃園市大園區大竹南路1180號,25.0460284,121.2045017
A17,A17,領航,Linghang,A,機場線,桃園市大園區領航北路四段351號,25.0189695,121.2136874
A18,A18,高鐵桃園站,Taoyuan HSR Station,A,機場線,桃園市中壢區高鐵北路一段5號,25.013762,121.2119733
A19,A19,桃園體育園區,Taoyuan Sports Park,A,機場線,桃園市中壢區高鐵南路二段350號,25.001996,121.2013063
A20,A20,興南,Xingnan,A,機場線,桃園市中壢區中豐北路一段685號,24.9802492,121.2140726
A21,A21,環北,Huanbei,A,機場線,桃園市中壢區中豐北路一段26號,24.967381,121.2197492
